Codigo,GastoBasico,Ponderacion
0622102,Tratamiento odontológico,0.16005
0623101,Exámen de radiología y otros,0.20773
0623102,Exámen de laboratorio clínico,0.20961
0631101,Servicio de hospitalización,0.27852
0631102,Intervención hospitalaria,0.171
0711101,Automóvil y pickup,2.54274
0712101,Motocicletas,0.48733
0713101,Bicicletas,0.06749
0721101,Repuestos para vehículos en general (amortiguador),0.1319
0721102,Llantas para automóvil,0.2339
0721103,Baterías y lubricantes,0.11669
0722101,Gasolina superior,2.06641
0722102,Gasolina regular,0.6952
0722103,Diesel,0.13937
0723101,Servicio de mantenimiento de automóvil,0.43832
0723102,Reparación de automóvil,0.30621
0723103,Lavado de automóvil,0.05681
0724101,Parqueo,0.10859
0724201,Servicio de pinchazo,0.04865
0724202,Licencia de conducir,0.04619
0731101,Servicio de taxi,0.11485
0731102,Servicio de transporte escolar,0.32321
0731103,Servicio de bus urbano,0.68383
0731104,Servicio de bus extraurbano,1.69766
0732101,Servicio de transporte aéreo,0.12482
0811101,Servicio postal,0.01717
0821101,Equipo de telefonía móvil,0.6195
0831101,Servicio de internet residencial,0.27557
0831102,"Servicio de paquete de telecomunicaciones (internet, tv, etc)",0.8416
0831103,Servicio de telefonía móvil,2.652
0831104,Servicio de telefonía residencial,0.5936
0831201,Servicio público de comunicaciones,0.05114
0831202,Servicio público de internet,0.09606
0911101,Televisor,0.83406
0911102,Reproductor portátil de audio y video,0.06169
0912101,Cámara de video,0.01617
0912102,Cámara fotográfica,0.06246
0913101,Computadora,0.44966
0913102,Tintas y toner para impresora,0.04954
0914101,Música y película digital,0.0908
0914102,Unidad de respaldo magnético,0.05021
0921101,Auto de juguete,0.05898
0921102,Juegos de salón,0.00242
0921103,Muñecas y muñecos,0.03977
0921104,Consola de videojuego,0.06483
0922101,Implementos deportivos,0.39719
0922102,Instrumentos musicales,0.00928
0922103,Máquinas para ejercicios,0.01175
0923101,Flores,0.00104
0924101,Alimento para mascotas,0.19972
0925101,Servicio vetererinario,0.02909
0931101,Entrada al estadio,0.02506
0931102,Servicio de fiestas ,0.66522
0931201,Clases deportivas,0.05834
0931202,Clases recreativas,0.02385
0932101,Entrada al cine,0.08871
0932102,Presentaciones artísticas,0.0685
0933101,Juegos de azar,0.01389
0941101,Textos escolares,1.01377
0942101,Diarios,0.01149
0942102,"Revistas, periódicos y otros",0.08269
0943101,Cuadernos  y utiles,0.36366
0943102,Lápices  y reglas,0.10054
0951101,Servicios de viajes todo incluido dentro del país,0.40299
0951102,Servicios de viajes todo incluido fuera del país,0.27295
1011101,Servicio de educación preprimaria,0.19327
1011102,Servicio de educación de primaria,0.63374
1021101,Servicio de educación de la enseñanza media,1.02677
1031102,Servicios de enseñanza universitaria,1.20983
1041101,Cursos de capacitación,0.65493
1111101,Desayuno consumido fuera del hogar,1.5608
1111102,Almuerzo consumido fuera del hogar,4.72181
1111103,Otras comidas consumidas  fuera del hogar,2.35458
1111201,Platos preparados para llevar,0.12772
1111202,Pollo frito para llevar,0.1445
1111203,Papas fritas y frituras para llevar,0.04034
1121101,Servicio de alojamiento estudiantil,0.20229
1121102,Servicio de alojamiento turístico y otros,0.08351
1211101,Servicio de peluquería,0.4915
1211102,Servicio de salón de belleza,0.50367
1212101,Artículos eléctricos para el cabello,0.02865
1212102,Máquina de afeitar desechable,0.23341
1212103,Artículos diversos para el cuidado personal,0.25623
1212201,Pastas dentales,0.49077
1212202,Papel higiénico,0.65327
1212203,Jabón,0.36101
1212204,Pañales,0.24282
1212205,Protección higiénica femenina,0.24493
1212206,Champú,0.6831
1212301,Productos de belleza varios,0.27435
1212302, Cremas y maquillaje,0.03959
1212303,Colonias y perfumes,0.86135
1212304,Cremas para la piel,0.25492
1212305,Desodorantes y antitranspirantes,0.39189
1212306,Artículos de maquillaje,0.15567
1221101,Joyas,0.08107
1221102,Reloj de pulsera,0.01088
1222101,Carteras y bolsos,0.04454
1222102,Artículos para el transporte del bebé,0.00506
1222103,"Artículos personales diversos (lentes de sol, encendedores etc.)",0.00669
1231101,Seguro ,0.26618
1241101,Creditos de consumo (tarjeta de crédito),0.07885
1251101,Servicio de emisión de certificado de todo tipo,0.1155
1251102,Servicio de fotocopiado,0.01797
1251103,Servicio notarial,0.06603
1251104,Servicio funerario,0.14453
1251105,Mantenimiento de condominio,0.15128
